Country,Advisory Level,Date Updated,GPI Score,GTI Score,Tourist Arrivals,Number of Deaths
Federated States of Micronesia,Level 1: Exercise Normal Precautions,2025-01-22,,,0,2
Liechtenstein,Level 1: Exercise Normal Precautions,2023-07-26,,,0,0
North Macedonia,Level 1: Exercise Normal Precautions,2025-01-14,1.764,0.0,0,9
Nauru,Level 1: Exercise Normal Precautions,2024-12-02,,,0,0
Palau,Level 1: Exercise Normal Precautions,2024-08-06,,,0,3
Burma (Myanmar),Level 4: Do Not Travel,2024-06-06,,,0,0
Afghanistan,Level 4: Do Not Travel,2025-01-13,3.294,7.262,0,105
Albania,Level 2: Exercise Increased Caution,2024-12-31,1.809,0.0,7543800,6
Algeria,Level 2: Exercise Increased Caution,2024-09-26,2.11,2.415,1398000,1
Andorra,Level 1: Exercise Normal Precautions,2025-03-25,,,8426700,0
Angola,Level 2: Exercise Increased Caution,2024-09-23,2.043,1.657,0,2
Anguilla,Level 1: Exercise Normal Precautions,2024-08-22,,,95800,2
Antarctica,Level 2: Exercise Increased Caution,2024-05-29,,,0,1
Antigua and Barbuda,Level 1: Exercise Normal Precautions,2024-08-22,,,0,0
Botswana,Level 2: Exercise Increased Caution,2024-02-26,1.863,0.0,0,1
Cabo Verde,Level 1: Exercise Normal Precautions,2024-09-23,,,0,2
Comoros,Level 2: Exercise Increased Caution,2024-05-28,,,0,0
Djibouti,Level 2: Exercise Increased Caution,2025-03-06,2.374,1.461,0,1
Equatorial Guinea,Level 2: Exercise Increased Caution,2025-03-07,2.132,0.0,0,3
Guinea,Level 2: Exercise Increased Caution,2024-12-12,2.423,0.0,0,2
Lesotho,Level 2: Exercise Increased Caution,2024-09-17,2.461,0.0,0,1
Namibia,Level 2: Exercise Increased Caution,2024-12-23,1.972,0.0,528000,4
Eswatini,Level 2: Exercise Increased Caution,2024-07-01,2.209,0.087,502500,5
Australia,Level 1: Exercise Normal Precautions,2023-09-08,1.536,1.973,3694000,129
Brunei,Level 1: Exercise Normal Precautions,2025-03-19,,,0,0
Fiji,Level 1: Exercise Normal Precautions,2024-12-02,,,652000,23
French Polynesia,Level 1: Exercise Normal Precautions,2024-12-02,,,261399,9
Hong Kong,Level 2: Exercise Increased Caution,2024-11-27,,,0,25
Japan,Level 1: Exercise Normal Precautions,2024-01-08,1.525,0.949,3832000,132
Kiribati,Level 1: Exercise Normal Precautions,2024-12-02,,,0,0
Macau,Level 3: Reconsider Travel,2024-11-27,,,0,2
Mongolia,Level 1: Exercise Normal Precautions,2025-01-22,1.845,0.0,301000,0
New Caledonia,Level 3: Reconsider Travel,2024-06-04,,,139000,0
New Zealand,Level 1: Exercise Normal Precautions,2025-01-03,1.323,0.217,1434000,55
Samoa,Level 1: Exercise Normal Precautions,2025-03-10,,,50600,0
Austria,Level 1: Exercise Normal Precautions,2024-08-23,1.313,0.582,0,30
Belarus,Level 4: Do Not Travel,2024-12-18,2.291,0.233,4920000,1
Belgium,Level 2: Exercise Increased Caution,2023-07-26,1.51,1.347,0,15
Bulgaria,Level 1: Exercise Normal Precautions,2024-08-15,1.629,0.0,10888000,13
Croatia,Level 1: Exercise Normal Precautions,2024-08-15,1.504,0.0,50023000,15
Cyprus,Level 1: Exercise Normal Precautions,2025-01-13,2.026,0.347,0,5
Czech Republic,Level 1: Exercise Normal Precautions,2023-07-26,,,0,23
Denmark,Level 2: Exercise Increased Caution,2024-09-17,1.382,0.72,31530000,15
Estonia,Level 1: Exercise Normal Precautions,2024-07-23,1.615,0.0,3497000,4
Finland,Level 1: Exercise Normal Precautions,2024-08-09,1.474,0.949,0,8
France,Level 2: Exercise Increased Caution,2023-07-26,2.088,2.712,0,116
Germany,Level 2: Exercise Increased Caution,2024-05-01,1.542,4.748,0,260
Greece,Level 1: Exercise Normal Precautions,2024-08-15,1.793,2.928,29876000,120
Hungary,Level 1: Exercise Normal Precautions,2024-08-21,1.502,0.0,46343000,35
Iceland,Level 1: Exercise Normal Precautions,2024-08-22,1.112,0.123,0,3
Ireland,Level 1: Exercise Normal Precautions,2024-08-28,1.303,0.233,0,15
Latvia,Level 1: Exercise Normal Precautions,2024-08-26,1.661,0.423,0,7
Lithuania,Level 1: Exercise Normal Precautions,2024-08-09,1.672,0.423,4725000,3
Luxembourg,Level 1: Exercise Normal Precautions,2024-07-19,,,0,1
Malta,Level 1: Exercise Normal Precautions,2023-07-26,,,2776200,3
Montenegro,Level 1: Exercise Normal Precautions,2024-11-26,1.746,0.0,0,5
Netherlands,Level 2: Exercise Increased Caution,2024-08-09,1.527,1.402,0,50
Norway,Level 1: Exercise Normal Precautions,2025-02-03,1.638,1.198,0,24
Poland,Level 1: Exercise Normal Precautions,2024-05-01,1.678,1.962,71814000,49
Portugal,Level 1: Exercise Normal Precautions,2025-03-03,1.372,0.0,0,23
Romania,Level 1: Exercise Normal Precautions,2024-08-15,1.755,0.0,12697000,21
Serbia,Level 2: Exercise Increased Caution,2023-07-26,1.93,0.582,0,4
Slovakia,Level 1: Exercise Normal Precautions,2024-11-14,1.634,1.023,0,4
Slovenia,Level 1: Exercise Normal Precautions,2024-07-26,1.395,0.0,0,4
Spain,Level 2: Exercise Increased Caution,2024-12-23,1.597,1.256,104968000,119
Sweden,Level 2: Exercise Increased Caution,2024-07-24,1.782,1.842,0,20
Switzerland,Level 1: Exercise Normal Precautions,2023-07-26,1.35,1.265,0,50
United Kingdom,Level 2: Exercise Increased Caution,2024-09-06,1.703,2.639,31244000,51
Kazakhstan,Level 1: Exercise Normal Precautions,2024-08-05,1.954,0.0,4729000,5
United Arab Emirates,Level 2: Exercise Increased Caution,2025-01-06,1.897,1.178,0,63
Aruba,Level 1: Exercise Normal Precautions,2024-08-19,,,1711000,13
Barbados,Level 1: Exercise Normal Precautions,2024-08-22,,,897600,41
Belize,Level 2: Exercise Increased Caution,2024-12-30,,,0,112
Bermuda,Level 1: Exercise Normal Precautions,2024-11-12,,,548500,20
Brazil,Level 2: Exercise Increased Caution,2023-10-19,2.589,1.43,0,106
Cayman Islands,Level 1: Exercise Normal Precautions,2024-09-04,,,1027700,27
Curacao,Level 1: Exercise Normal Precautions,2024-08-19,,,0,0
French West Indies,Level 1: Exercise Normal Precautions,2024-08-22,,,0,0
Montserrat,Level 1: Exercise Normal Precautions,2024-08-22,,,0,0
Saint Kitts and Nevis,Level 1: Exercise Normal Precautions,2024-08-22,,,0,0
Saint Lucia,Level 1: Exercise Normal Precautions,2024-08-22,,,714000,0
Sint Maarten,Level 1: Exercise Normal Precautions,2024-08-19,,,0,0
Saint Vincent and The Grenadines,Level 1: Exercise Normal Precautions,2024-12-06,,,0,0
Trinidad and Tobago,Level 3: Reconsider Travel,2025-03-21,2.092,0.0,0,4
South Sudan,Level 4: Do Not Travel,2025-03-08,3.324,0.0,0,1
Turks and Caicos Islands,Level 2: Exercise Increased Caution,2025-03-04,,,0,4
Grenada,Level 1: Exercise Normal Precautions,2024-11-12,,,335000,5
Guatemala,Level 3: Reconsider Travel,2024-12-30,2.332,0.0,1844700,133
Guyana,Level 3: Reconsider Travel,2024-09-11,2.286,0.0,0,28
Haiti,Level 4: Do Not Travel,2024-09-18,2.827,0.0,0,242
Honduras,Level 3: Reconsider Travel,2024-12-10,2.415,0.0,1911000,182
India,Level 2: Exercise Increased Caution,2024-07-23,2.319,6.41,14330000,148
Indonesia,Level 2: Exercise Increased Caution,2023-07-24,1.857,4.17,5889000,52
Iran,Level 4: Do Not Travel,2025-03-31,2.682,6.056,0,6
Iraq,Level 4: Do Not Travel,2024-11-22,3.045,6.582,0,250
"Israel, the West Bank and Gaza",Other,2025-01-17,,,0,0
Italy,Level 2: Exercise Increased Caution,2024-09-12,1.692,0.929,74317000,142
Jamaica,Level 3: Reconsider Travel,2024-07-25,2.119,0.0,3330700,177
Jordan,Level 2: Exercise Increased Caution,2024-09-12,1.998,2.913,5049100,44
Kenya,Level 2: Exercise Increased Caution,2025-03-17,2.409,5.366,1484000,52
North Korea (Democratic People's Republic of Korea),Level 4: Do Not Travel,2023-07-24,,,0,0
South Korea,Level 1: Exercise Normal Precautions,2023-07-24,1.848,0.582,0,24
Kosovo,Level 2: Exercise Increased Caution,2024-12-02,1.945,0.782,0,1
Kuwait,Level 1: Exercise Normal Precautions,2023-07-13,1.622,0.0,0,35
The Kyrgyz Republic,Level 1: Exercise Normal Precautions,2024-03-08,,,0,0
Laos,Level 2: Exercise Increased Caution,2024-11-21,1.861,0.0,0,22
Lebanon,Level 4: Do Not Travel,2024-12-27,2.693,1.237,0,24
Liberia,Level 2: Exercise Increased Caution,2023-07-31,2.025,0.0,0,6
Libya,Level 4: Do Not Travel,2024-08-01,2.528,1.612,0,2
Madagascar,Level 2: Exercise Increased Caution,2024-11-05,1.838,0.0,0,0
Malawi,Level 2: Exercise Increased Caution,2024-12-06,2.063,0.0,0,6
Malaysia,Level 1: Exercise Normal Precautions,2024-07-24,1.427,1.626,19016000,22
Maldives,Level 2: Exercise Increased Caution,2024-07-11,,,0,4
Mali,Level 4: Do Not Travel,2023-07-31,3.095,7.907,0,8
Marshall Islands,Level 1: Exercise Normal Precautions,2024-05-28,,,0,0
Mauritania,Level 3: Reconsider Travel,2023-07-31,2.136,0.0,0,0
Mauritius,Level 1: Exercise Normal Precautions,2024-08-30,1.577,0.0,1003100,1
Mexico,Other,2024-09-06,2.778,0.582,65995000,3020
Moldova,Level 2: Exercise Increased Caution,2024-11-29,1.976,0.0,0,2
Morocco,Level 2: Exercise Increased Caution,2023-07-13,2.054,0.0,10968000,29
Mozambique,Level 3: Reconsider Travel,2024-12-19,2.25,6.251,879000,7
Nepal,Level 2: Exercise Increased Caution,2024-12-18,2.069,1.113,0,29
Nicaragua,Level 3: Reconsider Travel,2024-12-13,2.295,0.0,932700,67
Niger,Level 3: Reconsider Travel,2025-03-21,2.792,7.776,0,1
Nigeria,Level 3: Reconsider Travel,2023-09-20,2.907,7.658,1271000,52
Oman,Level 2: Exercise Increased Caution,2024-11-04,1.761,2.927,2920000,6
Pakistan,Level 3: Reconsider Travel,2025-03-07,2.783,8.374,0,46
Panama,Level 2: Exercise Increased Caution,2024-09-23,2.14,0.0,1946000,81
Paraguay,Level 1: Exercise Normal Precautions,2023-07-17,2.044,0.073,1548000,11
Peru,Level 2: Exercise Increased Caution,2023-11-15,2.179,2.062,2278500,74
Philippines,Level 2: Exercise Increased Caution,2024-05-16,2.21,5.166,0,215
Qatar,Level 1: Exercise Normal Precautions,2023-07-13,1.656,0.0,2560000,20
Russia,Level 4: Do Not Travel,2024-06-27,3.134,6.267,0,44
Rwanda,Level 2: Exercise Increased Caution,2025-02-26,2.12,0.0,0,2
Sao Tome and Principe,Level 1: Exercise Normal Precautions,2024-09-25,,,0,0
Saudi Arabia,Level 2: Exercise Increased Caution,2024-09-09,2.206,0.845,18256000,46
Senegal,Level 1: Exercise Normal Precautions,2024-10-21,2.084,1.578,0,7
Seychelles,Level 1: Exercise Normal Precautions,2024-08-30,,,339000,1
Sierra Leone,Level 2: Exercise Increased Caution,2024-09-23,1.993,0.0,0,5
Singapore,Level 1: Exercise Normal Precautions,2025-03-05,1.339,0.0,6306000,28
Solomon Island,Level 2: Exercise Increased Caution,2023-07-24,,,0,0
Somalia,Level 4: Do Not Travel,2024-07-23,3.091,7.614,0,4
South Africa,Level 2: Exercise Increased Caution,2024-11-07,2.507,0.0,7342000,56
Sri Lanka,Level 2: Exercise Increased Caution,2024-10-02,2.195,0.0,758800,16
Sudan,Level 4: Do Not Travel,2023-04-22,3.327,0.0,0,3
Suriname,Level 1: Exercise Normal Precautions,2024-12-13,,,0,1
Syria,Level 4: Do Not Travel,2025-03-03,3.173,8.006,0,11
Taiwan,Level 1: Exercise Normal Precautions,2024-07-31,1.818,0.0,0,79
Tajikistan,Level 2: Exercise Increased Caution,2024-11-27,2.035,0.999,0,0
Tanzania,Level 2: Exercise Increased Caution,2024-09-05,1.987,1.573,0,20
Thailand,Level 1: Exercise Normal Precautions,2023-07-24,2.048,4.63,0,322
Timor-Leste,Level 2: Exercise Increased Caution,2025-03-21,1.882,0.0,0,0
Togo,Level 2: Exercise Increased Caution,2024-11-07,2.381,5.004,0,6
Tunisia,Level 2: Exercise Increased Caution,2024-10-23,2.044,2.184,0,3
Turkey,Level 2: Exercise Increased Caution,2024-10-16,,,0,30
Turkmenistan,Level 1: Exercise Normal Precautions,2025-02-28,2.079,0.0,0,0
Tuvalu,Level 1: Exercise Normal Precautions,2024-12-02,,,0,0
Uganda,Level 3: Reconsider Travel,2024-10-21,2.477,3.702,0,10
Ukraine,Level 4: Do Not Travel,2024-11-14,3.28,2.003,2307000,30
Uruguay,Level 2: Exercise Increased Caution,2023-07-17,1.893,0.059,0,16
Uzbekistan,Level 1: Exercise Normal Precautions,2024-09-27,1.957,0.233,5233000,1
Vanuatu,Level 3: Reconsider Travel,2024-12-20,,,65000,0
Venezuela,Level 4: Do Not Travel,2024-09-24,2.821,0.71,0,42
Vietnam,Level 1: Exercise Normal Precautions,2024-12-16,1.802,0.0,0,106
Yemen,Level 4: Do Not Travel,2025-03-31,3.397,5.08,0,22
Zambia,Level 1: Exercise Normal Precautions,2023-07-31,1.948,0.0,0,14
Zimbabwe,Level 2: Exercise Increased Caution,2023-06-27,2.396,0.0,1044000,9
Zimbabwe,Level 2: Exercise Increased Caution,2023-06-27,2.396,0.0,1044000,9
French Guiana,Level 1: Exercise Normal Precautions,2025-01-16,,,0,0
British Virgin Islands,Level 1: Exercise Normal Precautions,2024-08-22,,,0,11
Tonga,Level 1: Exercise Normal Precautions,2024-12-02,,,22300,2
Argentina,Level 1: Exercise Normal Precautions,2024-09-20,1.855,0.801,7503000,40
Armenia,Level 2: Exercise Increased Caution,2024-04-09,2.052,0.72,0,6
Azerbaijan,Level 2: Exercise Increased Caution,2023-11-02,2.248,0.233,1602000,0
The Bahamas,Level 2: Exercise Increased Caution,2025-03-31,,,0,121
Bahrain,Level 2: Exercise Increased Caution,2024-09-09,2.072,0.059,9949000,8
Bangladesh,Level 3: Reconsider Travel,2024-09-11,2.126,3.03,0,10
Benin,Level 2: Exercise Increased Caution,2024-05-24,2.306,4.802,0,2
Bhutan,Level 1: Exercise Normal Precautions,2024-06-26,1.564,0.0,0,0
Bolivia,Level 2: Exercise Increased Caution,2024-06-06,2.009,0.0,0,23
Bosnia and Herzegovina,Level 2: Exercise Increased Caution,2024-12-12,1.961,1.218,0,1
Burkina Faso,Level 4: Do Not Travel,2023-07-31,2.969,8.581,0,2
Burundi,Level 3: Reconsider Travel,2025-02-21,2.567,4.043,0,0
Cambodia,Level 1: Exercise Normal Precautions,2023-07-24,2.028,0.423,0,57
Cameroon,Level 2: Exercise Increased Caution,2024-12-18,2.773,6.944,539000,8
Canada,Level 1: Exercise Normal Precautions,2024-10-04,1.449,1.87,17924000,188
Central African Republic,Level 4: Do Not Travel,2024-12-26,3.009,0.957,0,0
Chad,Level 3: Reconsider Travel,2025-03-18,2.704,5.032,0,1
Chile,Level 2: Exercise Increased Caution,2025-01-16,1.978,5.162,2269000,33
China,Level 2: Exercise Increased Caution,2024-11-27,2.101,1.863,25250000,183
Colombia,Level 3: Reconsider Travel,2024-01-02,2.887,6.381,4686000,119
Costa Rica,Level 2: Exercise Increased Caution,2024-12-10,1.95,0.0,2497100,331
Cote d'Ivoire,Level 2: Exercise Increased Caution,2024-04-08,,,0,0
Cuba,Level 2: Exercise Increased Caution,2024-11-22,2.16,0.0,1614100,24
Dominica,Level 1: Exercise Normal Precautions,2024-08-22,,,235000,2
Dominican Republic,Level 2: Exercise Increased Caution,2024-06-18,2.157,0.0,8488800,269
Ecuador,Level 2: Exercise Increased Caution,2024-04-15,2.572,1.55,1265000,94
Egypt,Level 3: Reconsider Travel,2024-10-15,2.212,4.416,11724000,64
El Salvador,Level 2: Exercise Increased Caution,2025-02-07,2.25,0.0,2541000,123
Eritrea,Level 2: Exercise Increased Caution,2023-07-31,2.748,0.0,0,1
Ethiopia,Level 3: Reconsider Travel,2023-07-31,2.845,0.787,0,28
Gabon,Level 2: Exercise Increased Caution,2024-12-18,2.372,0.0,0,0
The Gambia,Level 2: Exercise Increased Caution,2024-10-16,2.079,0.0,0,2
Georgia,Level 1: Exercise Normal Precautions,2025-03-13,2.195,0.0,4704000,6
Ghana,Level 2: Exercise Increased Caution,2023-11-20,1.938,0.0,0,23
Democratic Republic of the Congo,Level 4: Do Not Travel,2025-01-29,3.264,6.768,0,0
Republic of the Congo,Level 2: Exercise Increased Caution,2024-10-02,2.261,0.0,0,0
Guinea-Bissau,Level 3: Reconsider Travel,2025-03-24,2.085,0.0,0,0
Bonaire,Level 1: Exercise Normal Precautions,2024-08-19,,,0,2
Sint Eustatius,Level 1: Exercise Normal Precautions,2024-08-19,,,0,0
Saba,Level 1: Exercise Normal Precautions,2024-08-19,,,0,0
Greenland,Level 2: Exercise Increased Caution,2024-10-29,,,0,1
